Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,custom_value8,custom_value9,custom_value7,Which of the following best describes the industry you work in?,What's your occupation?,,Which of the following best describes your current job level?,,What state do you reside in?,How happy or unhappy are you with your current role at your job? ,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",What is your marital status?,What is your gender?,,How satisfied or dissatisfied are you with your sex life?,How often do you have sex?,How often do you have an orgasm during sexual intercourse?,How often do you fake an orgasm?,"How would you rate your ""performance"" in bed?",How many times per week do you exercise or work out?,How desirable do you find yourself?,Would you agree with the following statement: My sex life was better before I graduated from college than after I graduated.,Household Income,Gender,Region,Device Type,Age
13363965913,415544481,02/28/2022 10:51:31 PM,02/28/2022 10:54:54 PM,,,,,63f2cce654d4249a60a1f7ca16,smc,,,,"Utilities, Energy, and Extraction",Administrative assistant,Office Manager,Middle Management,,New Jersey,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,About once a week,Always,Never,Average,Less than once per week,Somewhat desirable,Neither agree nor disagree,"$175,000-$199,999",Female,Middle Atlantic,iOS Phone / Tablet,45-60
13363965229,415544481,02/28/2022 10:53:13 PM,02/28/2022 10:54:38 PM,,,,,50527621b7ada02c2ef4dad77e,smc,,,,Food & Beverages,Line supervisor,,Intermediate,,Pennsylvania,Very happy,High School,Divorced,Female,,Dissatisfied,Less than once a month,Always,Rarely,Above average,Several times per week,Not so desirable,Strongly agree,Prefer not to answer,Female,Middle Atlantic,Android Phone / Tablet,45-60
13363964978,415544481,02/28/2022 10:48:39 PM,02/28/2022 10:54:17 PM,,,,,4be87b3250793bdb8f0e90206c,smc,,,,"Telecommunications, Technology, Internet & Electronics",Laborer,,Entry Level,,Indiana,Somewhat unhappy,Bachelor's Degree,"Single, never married",Male,,Neither satisfied nor dissatisfied,About once a week,Usually,Never,Above average,I never work out or exercise,Somewhat desirable,Strongly agree,"$0-$9,999",Male,East North Central,Android Phone / Tablet,45-60
13363964321,415544481,02/28/2022 10:52:30 PM,02/28/2022 10:54:15 PM,,,,,7fab037681681e470dee83f91a,smc,,,,Retail & Consumer Durables,Administrative assistant,,Middle Management,,Delaware,Neither happy nor unhappy,Bachelor's Degree,Divorced,Female,,Neither satisfied nor dissatisfied,A few times a month,Usually,Never,Above average,Several times per week,Extremely desirable,Agree,"$75,000-$99,999",Female,South Atlantic,iOS Phone / Tablet,> 60
13363964143,415544481,02/28/2022 10:51:32 PM,02/28/2022 10:54:11 PM,,,,,c64dcad2191f41273f488b4564,smc,,,,Retail & Consumer Durables,Retail sales associate,,Intermediate,,Washington,Neither happy nor unhappy,Bachelor's Degree,"Single, never married",Female,,Very dissatisfied,Less than once a month,Sometimes,Sometimes,Average,Once per week,Not so desirable,Agree,"$25,000-$49,999",Female,Pacific,Windows Desktop / Laptop,45-60
13363962968,415544481,02/28/2022 10:52:06 PM,02/28/2022 10:54:02 PM,,,,,03c68c8975d5b0d851edd3e33a,smc,,,,Healthcare & Pharmaceuticals,Registered nurse,Respiratory Therapist,Middle Management,,California,Very happy,Bachelor's Degree,Married or domestic partnership,Female,,Neither satisfied nor dissatisfied,Less than once a month,Always,Never,Above average,I never work out or exercise,Not so desirable,Disagree,"$150,000-$174,999",Female,Pacific,Windows Desktop / Laptop,45-60
13363963512,415544481,02/28/2022 10:51:42 PM,02/28/2022 10:53:55 PM,,,,,60c43c5d607471747003812786,smc,,,,Healthcare & Pharmaceuticals,Medical assistant,,Intermediate,,Illinois,Somewhat happy,Trade/Vocation School,Divorced,Female,,Neither satisfied nor dissatisfied,A few times a week,Never,Usually,Far above average,Several times per week,Not so desirable,Neither agree nor disagree,"$10,000-$24,999",Female,East North Central,iOS Phone / Tablet,45-60
13363963060,415544481,02/28/2022 10:51:05 PM,02/28/2022 10:53:44 PM,,,,,1d36b7e515a1bade6ebebc74aa,smc,,,,Education,Marketing specialist,Teacher,Other (please specify),Teacher,Missouri,Somewhat happy,Bachelor's Degree,Married or domestic partnership,Female,,Satisfied,A few times a month,Always,Never,Average,Several times per week,Somewhat desirable,Disagree,Prefer not to answer,Female,West North Central,iOS Phone / Tablet,45-60
13363962370,415544481,02/28/2022 10:51:47 PM,02/28/2022 10:53:27 PM,,,,,3921b8c1f02f54fda92a97d97c,smc,,,,I am currently not employed,Software developer,,Other (please specify),Retired,Massachusetts,Very happy,High School,"Single, never married",Male,,Satisfied,About once a week,Rarely,Never,Above average,I never work out or exercise,Very desirable,Neither agree nor disagree,"$25,000-$49,999",Male,New England,MacOS Desktop / Laptop,> 60
13363956159,415544481,02/28/2022 10:48:34 PM,02/28/2022 10:50:57 PM,,,,,1ab909b4995b25a2be222744e3,smc,,,,Healthcare & Pharmaceuticals,Office clerk,,Intermediate,,Michigan,Somewhat happy,High School,Married or domestic partnership,Female,,Dissatisfied,Less than once a month,Always,Rarely,Average,Several times per week,Somewhat desirable,Neither agree nor disagree,"$50,000-$74,999",Female,East North Central,Android Phone / Tablet,45-60
13363954665,415544481,02/28/2022 10:47:40 PM,02/28/2022 10:50:21 PM,,,,,29311548f59f1c4a4bcead13df,smc,,,,Airlines & Aerospace (including Defense),Line supervisor,,Intermediate,,Texas,Somewhat happy,Bachelor's Degree,"Single, never married",Male,,Neither satisfied nor dissatisfied,Less than once a month,Sometimes,Sometimes,Above average,Several times per week,Somewhat desirable,Agree,"$100,000-$124,999",Male,Pacific,iOS Phone / Tablet,30-44
13363954020,415544481,02/28/2022 10:47:07 PM,02/28/2022 10:50:04 PM,,,,,99be93850319becb26984000a6,smc,,,,Food & Beverages,Operations manager,General manager,Senior Management,,Texas,Somewhat happy,Master's Degree,Married or domestic partnership,Male,,Dissatisfied,A few times a month,Always,Never,Average,Once per week,Somewhat desirable,Agree,Prefer not to answer,Male,West South Central,iOS Phone / Tablet,45-60
